sentiment,text
0,"2 stars are for the original author, the content is very good. But I want to say, were the Chinese language proficiency of the two translators taught by the physical education teacher? In the same paragraph, the subject pronouns are confused, the overused double quotation marks constantly disturb the reader's vision, the comments in parentheses are obtrusive and irrelevant, and there are many words made up by the translator after the translation, leaving people completely confused as to what they mean. As a non-advertising practitioner, translators can at least check how others have translated the vocabulary and professional terms they don’t understand. In short, I guess the translator wanted to express the original author’s witty tone and erudite references through translation. As a result, Handan was learning to walk and even the normal Chinese descriptions were lost."
0,"I ordered size M. The bag was size M, but the contents were XL. I had back pain and wanted to use it right away, but I was asked to reorder it. Even though the return procedure is troublesome, please check carefully."
0,Very poor quality
0,Low table
0,"Too big and not being able to choose to carve leaves a little to be desired, otherwise it does its job well and is very cool"
1,"It fulfills its purpose perfectly. As the bulb is exposed, it illuminates the room sufficiently in addition to being a decorative element in the children's room."
1,Very good
0,Awful
1,"T-shirt has the material pleasant enough to play sports. In addition, it is relatively roomy which leaves freedom of movement. And the color is nice!"
0,"I looked at the version of the book and found that it was from 2005. The content is the same as ""Critical Conflict"". It is an early version of ""Critical Conflict"". It is probably still in stock. The paper quality and binding effect are still the technology of 2005."
0,No after sales! The disc was broken and no one contacted me to solve it!
0,"This item does not work and the product does not come with the bottle brush. We had to buy the product separately. When we used it, the system didn't work and everything was kicked out."
1,Grablampe Royal.
1,High functionality & high color = low price...a recommended gem
1,Just what my daughter was looking for
1,I am very satisfied with the prompt delivery. I also like the waterproof design. It's quiet and comfortable.
1,Wanted to monitor humidity in the basement to use our de-humidifier and it's great!
0,this sucks
0,"Beautiful. But it arrived late and without the zipper details. Without them it is not possible to use it because you cannot open or close the wallet. When I complain and try to exchange or return, I receive a letter telling me that the only thing they are going to do is refund me €1. Wow... not even in wish has anything similar happened to me. Very bad seller. The product looks good. But if like me you are unlucky and it arrives with some error WASTED MONEY"
0,"Two of the books I bought this time were published by Century. The other books are all very good. But these two books have poor paper quality, feel, and printing. I have nothing to say about them."
0,"I like that it's oatmeal, but I don't like that it has gluten."
1,Great price quality. Well finished and very pretty.
0,Very low-end product with marks on the toy.... It looks like this toy has already been used.... I don't have time to return it because it's for a birthday but I'm very disappointed with the product.
1,"The bottle was deformed when I received it. After communicating with the merchant, I immediately reissued it. They only promised me the courier fee for sending it back after receiving the goods, but I haven't been given it until now."
1,"The style is simple and fresh, you can also wear it at work, the fabric is elastic, comfortable to wear, and the price is very cost-effective"
0,"Unfortunately a lot of pictures, whole pages of them. Lots of spelling and grammatical errors."
0,You get what you paid for.
1,Very practical
0,I got the burner cover but the oil sprayer was missing. Don't know how to report it.
1,"Magnificent story, although the writing is a little complicated, vocabulary not very common but approachable all the same, I really liked this book."
1,"I tried various controllers to play the newly released Smash Bros., but this controller was the easiest to play. It's so light that it doesn't put much strain on your hands, and it was really fun to feel the vibrations. It also connects more quickly than others, so I was stress-free because I could start playing right away without having to wait for a connection each time. I'm satisfied with the ease of use at this price. I would like to use it for Smash Bros. and buy it for my friends."
0,One Star
0,"Broke on the second use and there was no extreme stress. And no, it wasn't an adult, it was my 6 year old grandson."
1,Very happy with the purchase.
1,Everything is good except the spark plug. Was sent a wrong size. I have to buy spark plug outside
1,Economical and practical
1,The headband is magnificent everything is of good quality even the earrings the numerous necklaces except the gloves which did not resist the passage of the fingers the small buckle broke to be resewn
1,I'm satisfied.
0,fake
1,Top
0,"The wipes are small and blue in color, I find them not soaked enough with alcohol solution. I will not renew my purchase. Cdt."
0,This was to be expected... it's not high quality and I'm a little afraid of wear and tear in everyday use... But hey at this price.....
1,"Spelling should be taken care of. It is unacceptable to find fault in a book, even if it is a popular genre."
1,It was good
0,I can't get the smell off.
0,False Advertising
1,"Undoubtedly, the original is of high quality (although not inexpensive). Unfortunately the cartridge was empty quite quickly."
1,"I use all of them and the truth is that quite a lot, I really like the colors and the quality-price ratio seems appropriate and even better than others."
1,It really works!!! Very pleased !!!!
0,I ordered rice on December 19 last year. Today is the first day of the new year. I haven’t received the rice yet. I wish you a happy new year.
0,Display reacts poorly.
0,Not even worth 1 star
1,It helps me keep an eye on my dogs. The only bad thing is that if they talk to you you don't understand
0,"If you buy a headset for 32 euros, I think you expect it to last two or three years. Well, mine was gone after four months..."
0,Unfortunately the contents are lint and my business cards look dirty
0,The product still hasn't arrived even after a month has passed since I made the payment. The delivery status is always in transit... I checked and found out that the shipping destination is China. I'm satisfied with this. I was an idiot for ordering from a careless Chinese restaurant with no common sense. I canceled it immediately and received a refund. Isn't Amazon too lazy to check the sellers (Chinese)?
1,Corresponds to the description nothing to say thank you
0,"The smell bothered me and I lost my appetite. I had high hopes for it because it was Maru-chan, but it was the worst."
0,"The screws don't fit! There are some that I had to buy!! I didn't like it very much, honestly! It's expensive for what it is"
1,My favorite vitamins. Good product.
1,Beautiful Christmas decorations
1,"It is stable, has plenty of space and is particularly suitable for baby laundry. Unfortunately, the struts/lines are too close together, so you have to leave a row free when wearing thicker clothing."
1,Great value for money!
1,I love
0,"The keyboard has major issues pairing with the iPad. Consequently, the unmatched keys are unusable... Fortunately, with the warranty, it is entirely possible to replace the keyboard with another."
1,Used during yellow pollen season in south east. Avoided getting a sinus infection this year with these. Worth the price since i only need 4-6 weeks.
0,"Anyway, it's not durable. One could not be charged from the beginning, and the other stopped charging after about two weeks. I would say it's worth the price, but it's not very durable."
0,Fragile
1,Beautiful and solid
1,The biggest feature is that it is cheap
0,Unreliable seller
1,"I think it's just fine. If you have a tacker, you can reupholster, so if you are interested, please try it."
1,Very pretty and good quality. The instructions are well indicated. It is perfect for both the computer and decoration. We loved it
0,"When I took it to the repair shop, the maintenance worker immediately said it was fake. There was no anti-counterfeiting mark on the mouth of the bottle and there was no inner cap! I used to think there were few fakes on Amazon, but now I know there are still so many fakes! Is there any place where I can make a complaint?"
0,Easy to break Too big
1,"I read the reviews and it looked interesting, so I bought it, and it's what I expected."
1,"The cable is perfect, very good purchase."
1,Sprays Great
1,Small and practical.
1,"perfect, exactly what I expected, possibility of connecting it via USB but cable not provided. very good value for money I would order more to perfect my decor :)"
1,The printing of the pictures in the book is not very clear. I don’t know if it is meant to reflect the old and mottled feeling of famous paintings. I personally don’t like it. I always feel that I can’t see clearly even though I try hard to see it.
0,Frequent dropouts
1,The person who received it as a gift looked inside and said it was very easy to use and it looked nice.
0,Poor conditioning
1,three good
0,"Cute design, great small size. Planned to use for kids birthday party. However, once inflated the valve immediately pops open and they deflate. Nothing like a bunch of frustrated disappointed kids at a party."
0,Defective junk!
0,Disagree
1,monissimos
0,break so easily do not buy
0,inappropriate
0,"Title party, the book list is high-sounding, but it is just a name, with no content, and it is just general."
0,"You should be very careful here! The motion detector switches itself off and does not turn on again. The entire radio is therefore unusable. Here you sell in the hope that they don't read the text carefully. Be careful, I don't think anyone seriously needs a radio like this."
1,Very pretty it changes the colors are magnificent
1,exchange at the same time
1,Material is great and can be easily separated from each other.
0,"It still hasn't arrived a week after the expected delivery date, so I contacted them and they said it would arrive within this week. After that, I didn't receive it and when I contacted them again, they replied that they had refunded my money. Wouldn't it be nice if the shop could at least contact you once you have responded? I will never ask you again."
0,"In addition, the decorative strips are coming off at the edges, it just looks nice and is easy to program but that's about it"
0,"I called the customer service to help me check whether the wardrobe was made of cloth or paper. The customer service said it was made of cloth, but when it arrived, it turned out to be made of paper. Let’s not talk about the size and other details. Do you think it would be interesting to deceive us buyers? I won’t buy it again next time"
1,The battery lasts two haircuts... But it cuts very well and speeds up to zero quite a bit. Fast and weighs nothing
1,"I was having trouble with cats dropping poop on my flower beds, so I tried installing one in my flower beds. It seems that the product was not working well, but the damage caused by droppings has decreased considerably. I am hoping that he will continue to dislike it and stop coming."
1,"For the use I give it when it comes to seeing the patterns and colors of the prints, it works wonderfully for me. Normal packaging and arrived on time. I recommend it"
0,"Not the best seller. Gloves are already broken after wearing them three times. Poor quality. They've kept you warm, but it's no use if they break straight away."
1,"Pretty, playful, easy to wear - a bit cheesy but nice - nice little gift, nothing more - Worth seeing"
1,The appearance is high-end and classy. It is very accurate when walking. The packaging is very tight. Thanks to the seller for giving me a belt as a gift. It is a very satisfying purchase.
0,Not satisfied. Its not worth the price. Its not as good as the 50 yuan one. It has a lot of scratches after just a few days of use.
1,The stick is well made and the holder is OK. The remote control is carried out via an internally routed cable.
1,Good value for money
1,Completely content
0,"It seems to be a used item, there's no hang tag, and it's frayed in various places, which is really bad! ️"
0,"I had already turned the font size to the maximum, but later I found out that it had nothing to do with this book, and I couldn’t see anything clearly from some of the photos that looked like they were scanned!"
1,Very good
0,Very gorgeous though...
0,"I'm a beginner, but I feel like the gut is a bit loose."
0,"Product expected to be delivered on December 21, nothing at all! To date, I have not received anything. Great scam!"
1,"Not bad, quite complete. However, the format is a bit small and the binding is not strong enough."
0,great option
0,"Hello, This item is of very poor quality. The fabric is very thin and rough. This dress runs very small. Size L corresponds to a 40/42."
1,"It was very enjoyable. Am looking forward to the 3rd book, Avenger. So far I haven’t been able to order it."
1,"Ceramic valves, very well made, we wanted to buy one from Grohe because we value quality, this faucet is at least as well made, but only costs half the price! and comes from a German manufacturer - 100% purchase recommendation!!!"
1,"I've broken or lost it and have bought it again about 3 times. I bought it for the first time when I was a student after learning about its good reviews. I'm nostalgic for the days when I came across this product during the ``period of unnecessarily demanding sound quality'' that every man must go through (?) and when I instantly fell in love with it and thought, ``Wow, this is great.'' I have it in my current home where I live alone, as well as my parents' home. This is what it means to have good cost performance. Even if it breaks or I lose it, I will buy it again and again!"
0,"Which is a total deception, 3rd quality materials and poor performance"
0,"I ordered two tights, nice and comfortable, but unfortunately both of them broke when I put them on."
0,The translation quality is too poor. The quality of Google Translate is better than this. This is translated by Baidu...
1,"The furniture is very good, just what I expected. It has turned out beautiful as a coffee and tea table in a beauty center. It arrived sooner than expected and I really liked the seller's details, such as the invoice envelope and the careful packaging. I would repeat without a doubt"
0,The wipes are too hard for the delicate skin around the eyes.
1,"Very fine powder and pot that contains quite a bit of product, I am quite satisfied with this powder"
0,Serious air leakage
0,"Does not sharpen pencils, possibly taking a lot of time to sharpen the body of the pencil but never succeeds in sharpening the lead. Add to this that it is not stable. Conclusion: unusable object, good for the trash. Unnecessary purchase to avoid"
0,Not a good lash lamp.
0,Do not order from this company!
0,different color
0,Unfortunately it's only half good
0,Does not work trash direction Test with several chargers
1,"The foot length is 26cm, buy European size 42 to fit. The shoes are very light and comfortable to wear."
0,Hmm
0,low quality
1,Smells great and compared to other soaps it doesn't sting your eyes when you get something in it
1,Great part
0,"I went through the trouble of installing it and it doesn't work for me, my size is fair and they sent me the 400 size not the 420 size as the ad says."
0,This cartridge would not work in my printer. It kept giving an error message saying the cartridge was not properly installed. I removed it and replaced the empty cartridge and didn’t receive the same error. It would not let me print
0,Delivery delay
1,"we know where the information and advice given in this book come from, that's a plus. The older ones put them into practice every day so it works. simple advice, which we sometimes have in mind, but here we see how to put it into practice and the expected results."
1,"Works great. I actually have been more fond of this one than I have with the bands from FitBit. I have gone through three of theirs, and the customer service line is not worth the time, so I just bought one myself. This has been a great purchase thus far."
1,Awesome
1,Parfait
0,watt
1,Coloration rouge
1,convenience
1,"The content of the book is good, but the delivery and packaging are not good. The five books I bought at one time were all folded."
1,"After using it for an evaluation in January, I read a lot of online reviews and said many things, such as the walking is not accurate and the noise is loud. After using it for this month, it actually works very accurately, but the noise is really a bit loud. The overall quality is good and the delivery is fast. I believe it is genuine. I support Amazon."
1,"The packaging is still not tight enough. Look at the pictures. Fortunately, nothing was crushed."
1,My dogs love it and we also love not having the door open constantly.
1,"It's extremely compact and can be placed securely even in small spaces, making it very convenient! I think this performance at that size is amazing, as you can put on a scent and feel relaxed!"
1,It did exactly what was expected. It is not as powerful as the house vac but perfect for the car
1,Its a good weight and looks amazing! My only issues with it is that it doesnt bring any spare parts incase it breaks but Thats fine. Overall its great
1,"The books I bought for next semester are guaranteed to be genuine, cheaper than those in physical stores, and shipped very quickly."
0,"I can only say that you can take a look at it, but it is not suitable and cannot provide very good help. This book is based on Americans' preference for carbonated drinks and high-calorie foods. It is not in line with our situation. Most of us cook at home, so it can be said that it does not require too many adjustments. And this article criticizes drug treatment as worthless. Sorry, this is recognized in the World Guide, but this book does not provide enough evidence to support his argument. It is more of a subjective conjecture and there is no data to support it. Summary: It can provide an idea, but the argument of only pursuing dietary therapy and abandoning medicine is not supported. It is only suitable for looking at and cannot be used as a guide for treatment."
0,"The item was delivered quickly, but the packaging was dirty and tea was crumbling out... The taste is okay, but you can't classify it, but you can drink it. All I can say about the effect is that it's a joke - it doesn't help at all, so it's better to save your money."
1,Product is great for the price. Wish weight of battery could have been slightly lesser but otherwise great product . Also There is no mention of anything about battery life in the manual
0,Could it be any worse?
0,I was very excited to get this for my boyfriend and it was broken upon delivery. I’m hoping I can get a replacement before Christmas.
1,Five Stars
1,They are good and at a good price
0,I delivered a damaged plate. I complained about it with a photo. Without reaction!
0,Hello I still have not received the packages? besides the hood I didn't get anything in the mailbox
0,Products in stock on Amazon will be delivered in one week.
0,"It's bad plastic, no tempered glass, I feel cheated, they go straight to the trash."
1,Convenient
1,value
1,It is very classic and objective. It is difficult to digest after reading it once. I am waiting for the second reading.
0,It feels good to wear
0,The router worked without any problems for about 3 months. Now it hangs up every 1-2 days and has to be restarted (switch it off and on again).
0,Didn't last long
0,Stars are for content. Books are all dirty. Can you please stop this? How long have others been reading this?
1,I thought about only buying on pry bar but I like this set and it’s really nice having different sizes for working on cars.
1,Crates is easy to use!
0,"The keyboard drawer is a joke. You can't pull it out and if you do it falls right off the track and into your hands. Otherwise, it is spacious, somewhat easy to assemble, and has plenty of leg room. Would not use the word 'sturdy' to describe this item. Ok for the money though."
0,What a bad word
0,The batteries are always dead!!!
1,Lovely
0,Buy fewer translations
1,I don’t recommend it to everyone. There is a big difference between the actual product and the picture.
1,"Because the pages fell off and the smell was strong, I chose to return it. If you don't mind these, you can buy them."
0,"The product was supposed to be for my daughter (10 years old) for Christmas and no matter what earplugs you put on it, they always fly out of your ears. The product is useless!"
1,"It works perfect, its features are as advertised, the customer service is great."
0,changed
0,"It’s useless. Firstly, it covers the ears too tightly. Didn’t I think about it when designing? Basically, the ears can’t stand it after wearing it for an hour. Secondly, are you sure the breathing valve is not a decoration? I don’t know if the cardboard is so loose. It's for an egg, and it will rise as soon as you blow it."
1,"This is so cute ❤︎ I really liked it. I chose the longest one, and it's perfect for my kitchen."
1,great value!
1,Everything perfect
1,"The effect of stewed porridge seems not as good as expected, just average. But I heard that you can also stew eggs, but I tried it twice and they were not cooked. Is it a problem with my method or the product? unknown"
0,I never received the product
1,"Good watch, what bothered me is the display is too dark."
0,Nul
1,Conforms to the description
0,"I never received the item I ordered! Very disappointed, I was not able to test for Christmas... I strongly advise against..."
0,Not so satisfied
1,Like a glove !
0,Two Stars
0,Received in a thousand pieces...in a simple packaging box!!!! The model (size below) is €30 at Castorama...don't waste your time on this product 😠
0,"There was no clip on the rear frame, so I called and was told that it wasn't included from the beginning, even though it was written in the installation manual."
0,Isn't it imported from the United States? Why is it still labeled in Chinese? ! deceive people
0,It's not a tempered glass film!!
1,Love these. My original arlos only came with 1 mount. I have 5 more cameras so these 4 are great. They are nice metal and I like that they are white. They are easy to adjust and came with all the hardware. They fit perfectly into the camera and are sturdy enough for the weight of the camera.
1,reach far
1,"If I installed it as is, it would hit the bumper, so I cut off the lower U-shaped stopper by a few millimeters on one side and installed it."
1,We used them for a wedding
1,"It’s very easy to use, very light, and can be carried up the stairs by one person. It’s very convenient to put the car away with one click. You can also take your baby out for a walk alone!"
1,Very good smoking flour
0,Not recommendable
1,"Very useful drawers, the pages fit perfectly and are deep enough to be able to stack a few. I don't give it 5 stars because I miss some tabs to be able to put the label on each drawer."
0,"Unfortunately, the barefoot shoe feeling is completely lost with this shoe, and there is also an unpleasant bulge on the inside and outside of the metatarsal."
0,slow.
1,Nice
1,"Very good product, aesthetic and very practical. The detectors work wonderfully. I put some in my hallway to avoid having to look for switches in the dark. You can even save on lighting with rechargeable batteries. Very good purchase. The only downside was that there were no double-sided adhesives in the box but the problem was resolved by the seller."
1,"It is very useful to be able to record changes in humidity at the site and view them on a graph. If this is all-weather compatible, you won't have any complaints."
1,"The assembly is simple, the accessories packaging is detailed and clear, the product is made of solid materials, the overall feeling is small and delicate, and the sitting comfort is good."
0,"Arrived on time, quantity and weight are sufficient, but too dry"
1,"Article more than correct for the price. However, the seller offered you a promotional offer that I was unable to obtain. Who does this come from? Seller ? Amazon?"
0,"The 158 yuan Z-second order ordered on February 2nd was estimated to be received before the year according to the prompts. It took 20 days to find out that the order would be shipped after March 1st. However, the information given in the normal order clearly states that it will arrive within 2-3 days of ordering. You really shouldn’t buy from merchants that are not trustworthy, and be careful when purchasing products that are not shipped by Amazon. These two stars trust Amazon and hope to remove untrustworthy merchants in a timely manner."
1,This book explores education from a human perspective. It has a new perspective and is quite worth it~! A must for writing essays~!
0,It's uncomfortable to wear and doesn't provide any support like a belly band. I wasted it.
0,Bad contact usb key
0,Item not received
1,"The delivery is so fast. The products that were flash sale the day before were received by express the next morning. The surprise product was well packaged and exactly the same as the one purchased at the counter. I used it last night and the effect was very good. I hope I can bid farewell to panda eyes soon. Follow-up Will continue to buy and use it, the flash sale price is very favorable~"
0,"The CD is missing, when will I get the CD?"
0,"I installed it, the light came on for a few seconds and then went off."
0,It was a miss
1,Something was written. It can be seen from the photos that Teacher Mao has great skills.
0,Really doesn't vacuum anything just makes sound but is too low to hear
1,"It was 3 days late, but it arrived. The outer box was slightly deformed, but the contents were fine. The response seemed to be sincere and good. There is no wobbling, and I wonder if there has been a significant improvement? Accuracy is also good. I was worried about a lot of things, but I made the right choice with this product. Thank you very much❗"
1,"I like this book very much. The paper feels very comfortable and the book is light and easy to carry around. The first reading can be very fast, and I finished it in less than an afternoon. Between the seemingly childlike words, there are some thought-provoking sentences from time to time. I recommend it!"
1,"Brilliant. It has very good lighting and many different light modes. Ideal for what I wanted. It's also very long, longer than I expected. Several chains can be easily joined together with a carrying hitch. Highly recommended"
0,It doesn't look original...
0,"The protective glass is easy to attach, so that's okay. However, the glass is so narrow that the display is not completely covered. You have about 1-2mm of free display on the left and right, although the edge across the display is of course also annoying. At the top the film fits halfway, at the bottom it stops in the middle between the display and the edge, not particularly attractive and despite the protective cover, the glass could extend significantly further. m.m.n. not recommended."
1,"Good, big wallet. You get everything under control. However, the compartments are a bit narrow and it's difficult to get the cards out. But maybe they will loosen up a little on their own..."
1,Good value for money
0,Savior Brave War
1,It is not difficult to operate and the price is excellent. Please note that USB Type B is not included at the time of initial purchase.
0,Bif
1,It has a blue plate inside and I don’t bother to change it. The strange thing is that the 6T blue disk is very thin. Is it a single disk?
0,"It stopped working, it was a matter of time"
0,"I messed up and got a lot of bubbles...I can't go back to the way it was, and the part that didn't get bubbles is smooth and easy to use."
0,"Why is there no invoice? ? ? I must have this invoice! ! Otherwise, complain to the relevant departments! ! !"
0,It is subtle.
1,Batteries arrived quickly. Haven't needed yet but am excited about the price and the warranty.
0,SCRATCHED AND DENTED
1,"Not bad. It doesn't have reclining and only has the bare minimum functionality, but I think it's perfect for people who don't mind that."
0,Discolored
1,I don’t know if it’s useful
1,It's very convenient because you just push it. Good moisturizing too!
0,"I'm a little speechless. I've bought it many times on Amazon.com, and this is the first time I encountered a quality problem. The cover of the book was completely scratched, which makes me speechless..."
1,"It is just like it is in the photo and it fits the headphones perfectly and even the phone charger, the only thing that took me a long time to arrive. But I still recommend it"
0,"Breath Thermo is very warm, I would give it 6 stars instead of 5 if it's only from the perspective of cold protection.However, it may be unavoidable because it contains wool, but it's too weak to wash, so I don't want to bother washing something like this by hand. You don't have time to wear them.If you buy 2 or 3 pairs and change them every day in the winter, it's better to keep in mind that they will wear out in one season."
0,Baby moves - scale can no longer determine weight
0,"The smell is terrible! Though I could tell it was spraying out glitter, I could barely see it at all in my daughters hair. Very disappointed."
0,Zero effect at all!
1,We have been with them for a long time and they have fulfilled their mission perfectly. Easy to fold and assemble. In general very satisfied with the product.
1,"The packaging of the product is quite exquisite, and it is a good gift. The manufacturing process is quite good, the gold model is slightly noble, and it looks high-end and classy!"
1,Easy installation
1,"Pleasantly light household ladder with good stability. Thanks to the 5 steps, a height of 2.50 m can easily be reached. The ladder can be folded narrowly to 13 cm."
1,To cover the boat
1,My granddaughter is love these however they are two stiff to make them move they need to work on the mechanical part of them
1,Essential oil
1,"Practical, for 1 or 2 weeks"
0,"The charging is soo slow it almost doesn't happen. If the IPad is dying, you can't charge it with this cord and continue working or watching a video- iPad's battery continues getting low on charge. I was looking for a charging cord specifically for the iPad, because it needs a bigger block, imagine my disappointment."
0,"The product is good in terms of audio BUT 2 Big problems, the shape of the tips is very poorly designed and above all the tips cause injury and pain to the ear canal."
0,"Fun for a very short time. My son wanted the target. Unfortunately, after the third shot, the first window broke off...and he wasn't close. Exchanging is totally complicated. Should send a photo and then I was promised a new delivery. This never arrived and after asking several times I could have sent the target back at my own expense (Amazon says they will reimburse the shipping costs retroactively). Better not to buy... saves a lot of trouble and time."
1,"All perfect! Very fast delivery. No surprise. Perfect condition, as expected without surprises. 100% reliable seller. I recommend purchasing if you are looking."
1,It's convenient and ready to use.
0,"One of the reasons for shopping on Amazon is fast delivery, but this shopping was really tiring. It was agreed that it would be delivered on Tuesday, but it snowed on Monday (it kept getting sunny after Tuesday), so forget it if it didn't arrive in time. But you delayed it until Saturday afternoon, and I was speechless."
1,Well enough
0,grandísimo
1,"It is made of high quality material. It is very large when unfolded, but can be packed in the included carry bag when folded. So it is very portable."
0,I feel cheated
1,"It is useful as a healing item. Just plug it into the USB and press the switch. It instantly warms up and cares for your eyes. It also blocks out my surroundings, so I think I'm sleeping better than when I don't use it. I haven't tried the cool version yet, but I think I'll try the cool version in the coming season. Recommended for days when you feel tired."
0,Stopped working within two months
1,very correct
1,Absolute purchase recommendation!
1,"No volume button? . The sound is cleaner than the one I'm currently using, and I feel like the pairing and other reactions are faster. Because they are small and rounded, they are difficult to remove from your ears (maybe you are used to this). The charging cable is not micro USB. The moment I saw it, I thought it might be a little inconvenient because it wasn't compatible, but it was easy to plug in and stress-free. It's cheap and I think it's okay to buy another one and keep it in your bag. I'm quite satisfied with it, but since I've only just started using it, I've refrained from giving it one star."
0,Product came broken.
0,I compared it with the genuine book bought by a friend and found that it is not genuine. Still very expensive.
0,"The radio is in our kitchen and is turned on every now and then on the weekend while we cook. It runs about 3 hours a week (that's not a lot). Barely 1 year old and the volume regulator is working. When you turn it, you always hear a hissing noise, and as soon as you find your desired volume, it can happen that the noise starts briefly at exactly this point and you hear absolutely nothing. Then you have to turn the control again until you hear something. So I would have expected more from Blaupunkt and the price."
0,Bottle delivery
0,shape
0,"Not bad, but..."
1,"The plot is good. I originally thought Hannibal Rising was Hannibal, but I didn’t expect it to be a prequel, but it’s pretty good!"
1,A novel that I read in half a day
1,Good product
0,"I bought it because it had good reviews, but when I opened the box and removed the cushion-like thing, I noticed fingerprints and sweaty hands on the inside of the iPhone case. oil? Something like this was attached to about 5 places. I'm very disappointed that it was supposed to be new, but it appears to have been used. I like the design and ease of use, so I decided to wash it and use it, but I was shocked."
1,The flavor is good. The batter is very thick. I had to add additional liquid to thin it out to my taste. Would buy this product again.
0,"great result at the beginning, over time it becomes softer and softer until it lies on the floor. Didn't even last a year."
1,"The ones sold at drugstores and the like don't dry well when you apply multiple coats, and they tend to stain if you accidentally touch them, but I applied this product three times and I think it dries quickly! I don't feel the roughness of glitter either. I gave it 4 stars because the color wasn't as pink as I expected and more silvery, but it's sparkly and beautiful! I also bought the blue one at the same time, so I'll write another review after I use it! By the way, it takes about 20 days from order to delivery, so we recommend it to those who can wait patiently!"
0,Pretty but impractical
0,Only two of the four batteries provide full performance
0,Don't like it very much
1,Just received it. I heated it in the microwave and added oats. It tastes great and has a mellow milky taste. Good value for money. The shelf life is produced in May and expires in May next year.
1,Four Stars
0,"So far it's good, but without the app it's not that great because the server can't be reached because you can't use many of the functions. It's a shame and connecting to your cell phone isn't always easy either"
0,"Purchased to grow bean seedlings. At first, germinate in a dark place, and it is necessary to fill the water with water until the surface of the seeds is exposed or not, but since you have to pour a lot of water into the container, you will need to fill it with water when changing the water. It has a structure that makes it easy to spill water. Therefore, I cannot recommend it."
1,Perfect condition and with box
1,The size is suitable and the quality is average. It costs 10 yuan to add. It is expensive to buy at the original price.
0,Never received
0,No!
0,"The picture showed a remote control, so I thought it was included, but it wasn't. I didn't know who to complain to, so I bought a remote control from someone else, but it ended up being expensive."
1,All right
1,I bought this because I thought it would be essential as I would be carrying it around in my luggage for use when traveling. I'm satisfied.
0,"I didn't like it at all, it's not realistic, in fact I returned it, it doesn't look like a reborn at all, the hair was glued wrong, it's a normal doll, the kind you buy in any store."
0,"Initially it worked very well but it has not lasted long, the union of the inflation chamber has come loose and it no longer has pressure to inflate. Also, I can't find a way to manage the warranty...less than one year of use."
0,"1 and 2 both have plastic wrap, but 3 not only does not have it, it is still an old book, and the key point is that there is a big hole in the spine of the book cover! ! ! ! ! ! I can't stand it! ! ! !"
1,"Practical, ergonomic, useful"
0,"I never received the charger for my son's Wii ordered since October 18, 2017. I contacted the seller but he told me that it had been sent."
0,Dissolves after just a week...
1,"It has a very grand world construction, and the plot is as immersive as a thriller. It is a very mature science fiction work. Looking forward to the follow-up."
1,I can only say that it’s okay. It’s no different from domestic paradise umbrellas. Just be gentle.
